FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.data.xml.CategoryDatasetHandler.csv,19.0,NaN,40.0,NaN,9.0,NaN,40.0,NaN,
org.jfree.data.xml.CategorySeriesHandler.csv,46.0,NaN,50.0,50.0,9.0,NaN,34.0,NaN,
org.jfree.data.xml.DatasetReader.csv,0.0,NaN,48.0,48.0,8.0,NaN,16.0,NaN,
org.jfree.data.xml.DatasetTags.csv,0.0,NaN,8.0,NaN,0.0,NaN,0.0,NaN,
org.jfree.data.xml.ItemHandler.csv,53.0,53.0,56.0,56.0,11.0,11.0,36.0,36.0,
org.jfree.data.xml.KeyHandler.csv,55.0,55.0,46.0,46.0,9.0,NaN,35.0,NaN,
org.jfree.data.xml.PieDatasetHandler.csv,19.0,NaN,37.0,NaN,9.0,NaN,40.0,NaN,
org.jfree.data.xml.RootHandler.csv,16.0,NaN,34.0,34.0,10.0,NaN,35.0,NaN,
org.jfree.data.xml.ValueHandler.csv,50.0,NaN,53.0,53.0,11.0,11.0,35.0,NaN,
NaN,0.2413793103448276,NaN,6.202312138728324,NaN,1.1401273885350318,NaN,1.0569620253164558,NaN,
